ID,CPR,name,phone,age,CD4,sex
21150,2507197209,Aladdin Lielich,29920605,60,437,2
22717,1104081828,Aladdin Plumb,86082369,51,414,2
21994,0509568408,Alain Clod,87358192,43,385,2
26761,0811976498,Alain Lauridtsen,30699477,51,558,2
26604,1410923006,Alain Vindelev,92010534,39,403,2
16294,0708579683,Alan Augustinussen,93061182,20,591,2
24106,2310938564,Alban Eskildsen,64473571,40,561,2
18274,1801578875,Alban Schult,40314903,46,376,2
26223,1204917480,Alban Terkildsdatter,28723699,56,654,2
26931,2609656664,Albert Nilsson,42279502,48,406,2
21176,2302329839,Alberte Dupont,83526477,25,595,1
15381,0507624185,Alberte Grundseth,43147581,41,382,1
22608,0501685060,Alberth Johnson,23708451,30,711,2
29628,1804584070,Albertine Andreassen,51238540,50,405,1
25408,3103853594,Alberto Nyman,74829343,45,494,2
16442,0503812930,Albertus Thomassen,80938068,36,391,2
13168,0801154963,Albine Born,62653538,44,832,1
25798,1707801786,Albinus Kryger,26148637,45,416,2
24392,0704816480,Albrecht Lynnerup,64704311,32,569,2
10606,1405058432,Albrecht Maddsdatter,40432607,45,598,2
19157,1401826043,Albrekt Romine,41774276,37,276,2
10966,0904849327,Albret Warming,63828586,58,452,2
10275,0402286469,Alec  Lübker,57275105,55,543,2
16899,1210712649,Alec  Stald,84414541,52,512,2
14952,1207746900,Aleks Lawrie,73655433,29,432,2
20073,3001000835,Aleksej Rasmussen,88713400,37,371,2
17612,2405360351,Aleksej Ófeigsdóttir,11849587,33,416,2
26972,1109081388,Aleksia Kloster,39094563,50,349,1
23392,0301169484,Alett Kvistrup,13981704,50,375,1
15898,1306266034,Alexander Morsing,12862844,53,303,2
22478,2102841711,Alexis Laugesen,94417580,39,644,2
12968,2003706363,Alexius Bornhöft,50266764,50,405,2
23853,1102490185,Alexius Siegumfeldt,24548797,20,641,2
21594,2703053647,Alexius Zachariasdatter,46669957,63,615,2
17445,1807469772,Alfa Gierlef,77796624,51,375,1
18192,2512559702,Alfred Brandtberg,66788124,43,703,2
21000,2501101978,Alfred Christophersen,46480854,31,539,2
30517,2701821881,Alfred Dahlhuus,87552974,53,347,2
15729,0303156379,Alfred Hayes,82373682,54,618,2
31507,2210634276,Alfred Ignatius,64795727,43,406,2
27627,0407501066,Alfride Smallwood,57421616,40,391,1
13924,2909681413,Alfrieda Jokumsen,32828854,53,388,1
16510,0104491084,Alfriede Pehrsen,76085610,45,485,1
20660,0506851367,Alger Roden,48153540,51,471,2
31146,2603097977,Algot Bach,48114879,55,549,2
17126,0807252637,Algot Dragon,50735768,42,558,2
17370,0901330216,Algoth Sandal,67538650,70,597,2
12532,2105115409,Algoth Tjørnelund,59546003,40,447,2
23072,0503863285,Algy Chistensen,84460750,63,434,2
22122,3005376356,Algy Fjelsted,73417627,40,477,2
30399,2107433220,Algy Fris,83710358,34,613,2
13418,1503575916,Ali Holgersdatter,73389662,45,394,2
10027,0106185261,Ali Lumholdt,67148292,54,439,2
19412,2902318015,Alice Havdrup,34829081,41,563,1
13557,2405409232,Alida Bæk,29200433,53,470,1
19283,1406347554,Alikka Dorit,58322841,37,570,1
10232,0804920816,Alina Morris,74179399,50,365,1
14427,2803164910,Alina Nisdatter,45823802,54,587,1
13390,0109486404,Alisa Svankjær,57221016,44,341,1
18520,0304228938,Alison Grundal,16910798,40,364,1
22108,2505407888,Aliz Skanderup,90190522,23,669,1
31291,1504731151,Aliz Tholstrup,56463959,65,518,1
23237,2002509917,All Green,81527726,50,420,2
27883,2802755817,Allan Isacsdatter,80115490,33,335,2
31518,3109807488,Allan Kristiansen,50624480,43,402,2
21387,2308280213,Allen Frantzdatter,39764459,28,346,2
20505,0603871140,Allen Lauritzen,74384968,40,409,2
30850,1009334271,Allen Lundorpf,81741776,23,447,2
28940,0211568364,Allen Pallesdatter,64362573,65,369,2
31580,1701634617,Allette Westhausen,86728281,41,388,1
18514,3004889652,Almar Aasborg,55354583,52,440,2
10143,2204115966,Almar Plougstrup,65902965,32,404,2
30055,0209677779,Almer Gallagher,38294887,47,456,2
16154,0603141740,Almer Lybker,23823119,26,478,2
25154,2203230978,Alois Havre,96699853,37,322,2
10132,1610061586,Alva Kristian,23854951,47,523,1
23060,0906293384,Alvar Lomholdt,61132323,47,375,2
24993,2202872887,Alvar Rudbeck,24158073,41,651,2
26556,1704407778,Alver Henneberg,85762978,44,508,2
10360,1508084930,Alvild Kirstine,80085149,45,795,1
27933,0311109006,Alvild May,87819670,40,551,1
25479,2610870440,Alvin Vinkel,98169664,51,511,2
22952,0604250178,Alvina Lottrup,36863861,50,434,1
30895,0112116891,Amadeus Holzendorf,40292795,57,648,2
27127,0307264270,Amalie Ousen,65478798,26,420,1
27203,0209309061,Amanda Torjusen,15933109,58,391,1
14702,1407797703,Amandus Stephensen,44633223,25,502,2
27806,0808661828,Ambjørn Palmelund,89950481,38,337,2
29577,3010229845,Ambjørn Quintel,42070699,43,402,2
24585,1908743897,Ambjørn Thagaard,53637076,41,578,2
28526,2010165516,Ambrosius Schiern,73316429,28,461,2
18060,1610167759,Amdi Keiberg,24023314,42,461,2
21666,0703020629,Amelie Høyland,61351926,27,802,1
13338,2603135091,Amilla Dideriksen,80717196,48,318,1
23286,1210177728,Amina Marcussen,56262547,28,503,1
29859,2706036905,Amina Skyggebjerg,46746044,64,601,1
10664,3101368070,Amira Coleman,65486175,38,395,1
13267,2004621452,Ammund Snedsted,18359100,30,543,2
26390,2609932260,Anastazia Sorensen,87176997,38,607,1
24188,0202328940,Anatole Ølbye,38705496,43,612,2
23279,1909903207,Andras Orlof,15834385,47,417,2
29514,3007175846,Andras Vase,23754649,36,345,2
21315,2906697050,Andras Zimmer,83544466,47,389,2
24764,2410161196,Andre Køhler,78778808,43,453,2
15644,2407879534,Andrei Baungaard,62150620,34,547,2
17904,0108965214,Andrei Morris,70400184,63,545,2
16001,1909920936,Andrei Plougstrup,92080415,49,387,2
29699,2307655888,Andrew Schjellerup,21425632,59,371,2
14533,1409113113,Andrias Bartolin,50822795,38,391,2
19455,0310034952,Andrias Lundahl,39425066,49,433,2
22485,0503443451,Andrias Mose,11031350,42,387,2
19927,1812159376,Andry Heinemark,35818097,47,421,2
26356,1812593116,Andry Prebensen,14951707,40,685,2
23491,0706249937,André Abraham,59341510,64,652,2
23911,2710499621,André Fynboe,87987264,65,638,2
19758,1006986479,André Rants,68661207,42,360,2
25522,0910934606,Andrés Dahms,92371713,39,400,2
17937,1809895448,Andy Boje,72147102,86,615,2
21146,3001729266,Andy Høppner,98689464,59,687,2
13508,2506253588,Andy Justdatter,66327234,55,404,2
17356,1509651440,Ane Gialsbek,58570355,11,620,1
17016,1807712263,Anegrete Schien,18269701,66,575,1
30714,3107840074,Anegrethe Lie,78197665,51,470,1
14822,0512538453,Anelise Hvolbye,56139002,54,319,1
11289,2711685005,Anelise Tangen,29114429,23,687,1
11782,2010242810,Anemarie Elkjær,72289312,50,465,1
10295,2509333806,Anemette Hemmingsen,10829164,35,598,1
26254,1802406976,Anetta Lauersen,43972413,40,410,1
17719,3004328750,Anetta Skovgaard,13994067,40,744,1
20276,1412309061,Anfred Besser,43157127,30,382,2
30127,0807176402,Anfred Knudsdatter,91580313,40,671,2
18815,0905049529,Anfred larsdatter,12303121,62,559,2
10558,2606217313,Angel Juul,43991480,27,276,2
15439,1612017386,Angela Brandtlund,16134781,41,484,1
20406,2801702515,Angelika Rothermel,80512489,58,447,1
31118,1306692227,Angelique Lauridsen,73608057,28,602,1
12685,3110192463,Angul Andreasdatter,32549205,34,408,2
15335,1411244392,Angèlique Høgh,96483495,33,374,1
27692,3103929502,Anick Sellesen,11494301,42,410,1
16825,0712659289,Anie Lungholt,11685814,45,345,1
29048,0304936765,Anise Udesdatter,58104606,40,300,1
15051,1809776227,Anise Vadum,79134920,51,356,1
20016,0309469642,Anna Bødtcher,60078920,67,552,1
22602,1308483054,Annabella Baandrup,71214028,34,545,1
27790,0811450670,Annabella Hoolihan,79696717,32,381,1
20756,2512719333,Annalis Grum,38983919,42,449,1
20701,2906138007,Annebet Pedersen,80964662,30,756,1
10883,3004827882,Annegrete Lumholtz,77727426,61,406,1
22914,1805562547,Annegrete Schwendi,34350059,58,520,1
26293,1408688707,Annelie Suhnesen,70785999,35,563,1
24443,1504235792,Annelis Digmann,76892802,39,222,1
25231,1704060415,Annelouise Hansøn,27696568,53,632,1
13039,2805202338,Annelouise Krage,24704376,32,308,1
17824,0505652844,Annemari Brødsgaard,18801136,44,711,1
16744,0608507629,Annemette Gallagher,73461741,51,546,1
28108,1801306255,Anneth Andersen,33492836,48,368,1
21687,0302411084,Anneth Solgaard,40046427,38,409,1
28812,3001473243,Anngrethe Lomholdt,90074276,13,578,1
24514,1701848871,Anni Holbeck,74397120,38,327,1
10676,2803749861,Anni Løber,29118275,46,547,1
11199,0304215879,Annica Andreasen,38717059,40,453,1
21457,2410510949,Annik Albertsdatter,35864318,34,471,1
31548,0211902984,Annik Willumsen,22387886,42,576,1
29902,2105557865,Annita Carlsen,71570350,45,595,1
28577,1606289591,Annitta Duus,11171705,72,702,1
27560,2412992216,Annlil Troelsdatter,92439124,47,655,1
28854,1102000999,Annsofi Skjødt,30801899,79,622,1
28245,0507217374,Anselm Olsen,39567029,38,653,2
29467,1709597999,Ansgar MacDonald,52777888,48,494,2
14632,2008101530,Ante Benn,17935720,47,368,2
19406,0212871544,Ante Risom,74766520,48,605,2
18332,2203913472,Anthon Nelson,15020664,60,503,2
30181,1501973836,Anthonie Bendixen,60622189,44,758,1
29626,2909120774,Anthonie Lundt,68308085,53,523,1
25670,1308256107,Anthonius Skytt,53842144,54,413,2
11911,2307065576,Anthonius Valmose,60114784,25,520,2
12473,2002386812,Anthony Yates,72268304,59,658,2
10919,2402603575,Antoine Erbs,20046578,45,492,2
28943,0607381898,Antoine Lolk,97400025,45,516,2
12721,0910421204,Antoine Rothermal,11962547,19,361,2
29840,2710998206,Antoinette Frederiksmose,77028228,40,458,1
20543,3102108737,Antomine Salomonsen,57892236,50,479,1
19039,0604622303,Anton Berthelsen,57552976,56,774,2
14037,2205102027,Anton Mark,26756245,25,343,2
20687,1303517332,Antoni Bygvraa,83886687,33,337,2
12653,0109460153,Antoni Edin,64562589,64,644,2
28400,2210016918,Antoni Kring,95827789,28,356,2
22332,0610297610,Antonie Sommerlund,60502386,18,721,1
28551,1803142711,Antonina Brok,32573478,36,356,1
18452,2009685658,Antonio Haarsløv,82109563,48,579,2
21950,2812116141,Antonius Pallesen,98391341,15,780,2
22710,0805045146,Antonius Sigurðsson,75146678,28,440,2
27799,0406650479,Antony Lybker,53000725,35,320,2
15177,2001087723,Any Havre,65617895,27,367,1
13048,0908872524,Anya Olofsdotter,62203996,38,375,1
25760,1109500688,Apollo Johnsdatter,83171939,55,625,2
22876,1904283090,Apollo Kjerstrup,55311322,34,464,2
19750,1812931774,Apollo Thrane,46554008,65,549,2
22491,2804367049,Apollus Gram,36035569,48,505,2
23419,2402476747,Aqqaluk Heinemark,67594558,107,571,2
11909,1107232292,Aram Bøttern,96474137,49,719,2
27188,2308044030,Aram Kristriansen,51301242,35,557,2
19316,0412543783,Aram Rønning,63399590,43,320,2
26044,3006212478,Aram Smed,91529783,60,548,2
12437,0603485522,Aranka Hietting,75366498,43,374,1
18498,1211037387,Archibald Lorensen,69213032,40,470,2
16284,1709408696,Archibald Nyhus,31769330,28,353,2
21371,1507939248,Archie Holst,76155951,30,548,2
29082,1104627876,Archie Metcalfe,31965952,31,535,2
25729,1912767746,Archie Silleman,78041131,27,685,2
28196,2906418749,Arendse Eskildsdatter,59982531,61,745,1
21686,2501579746,Arendt Trane,83329644,40,357,2
18569,0911480775,Ari Terchildsen,88004113,39,431,2
27051,2611009095,Arik Trane,69649297,39,376,2
12773,2509078758,Arkibald Frank,14422396,39,406,2
10253,2112855871,Arkibald Grundet,98999827,51,505,2
14382,1206597640,Arkibald Mogensen,78705726,39,316,2
17658,2012953255,Arkibald Svendsdatter,86226661,65,648,2
10418,3101300179,Arletty Willadsen,96775023,58,414,1
10233,2510938585,Arly Augustiniusdatter,63411130,41,561,2
23593,0601955460,Arly Egediusen,71250813,49,443,2
10184,2804129456,Arly Langkjer,48602051,5,711,2
19500,2209657686,Arly Lyse,84095364,49,311,2
22645,3111674888,Arly Millinge,65641428,62,769,2
10590,3106425347,Armand Heilskov,11904685,41,335,2
25801,0901506560,Armin Thiesen,78372842,29,423,2
28908,1406557964,Arn Feld,37745152,67,379,2
11454,2305432646,Arn Jesdatter,38825553,44,374,2
26065,0801172236,Arn Korndrup,18197061,87,611,2
21918,0112574064,Arn Piquet,29727101,44,561,2
23920,1809837306,Arn Østerberg,67120539,24,599,2
11401,2105726664,Arne Emborg,73273441,43,691,2
26063,1002829922,Arnfred Torvin,79486676,23,658,2
20130,2606451823,Arni Marcusdatter,29863430,47,388,2
30705,0107552358,Arno Jeppesen,85195750,55,615,2
25132,2002015236,Arnt Sandahl,69145933,73,573,2
20772,1012445413,Arnt Sinding,38265747,50,459,2
27938,1006858303,Arnt Wöller,49504097,43,358,2
18470,0111561066,Arnth Ploug,55858017,54,453,2
25298,2906845938,Aron Lundberg,86722605,34,381,2
18269,0204787558,Aron Troelsdatter,55789481,21,584,2
23886,2201102616,Arrild Marcusdatter,87987074,51,749,2
18175,1603561719,Arthur Henriksen,46056871,25,604,2
20341,0910765033,Arthur Margrethe,43339050,35,676,2
31431,1303210508,Artur Holme,79934892,48,434,2
15058,1812544476,Arv Lorentsen,73121427,39,536,2
12538,1603114067,Arv Skaarup,16729570,17,458,2
26595,1409043299,Arv Stenersen,25808133,38,417,2
18297,2312307938,Arvid Therkelsen,43469524,69,616,2
27368,1611276010,Asfred Forbus,48885920,46,364,2
14782,3002485638,Asfred Svoger,84505984,52,437,2
20110,0908873464,Asgar Bøggild,53009470,50,660,2
11251,1907666315,Asgar Damkier,62235924,46,403,2
11657,1307867757,Asgar Haarup,61303587,44,367,2
29323,2709116098,Asger Born,96388311,45,372,2
24904,3003121769,Asger Fredsted,52281130,27,400,2
12628,2612364496,Ashley Storm,11178831,57,356,2
29443,3006844857,Aske Kennedy,56569035,43,406,2
14613,2707195766,Aske Therkelsen,88585432,41,311,2
15905,1211751439,Asker Damschneider,60488684,50,375,2
15241,3009598682,Asker Egediusesdatter,17740933,49,557,2
27028,0512320151,Asker Peterson,54095270,13,418,2
19755,1202744871,Askil Klokmose,33618346,53,648,2
16487,1712604142,Askil Lehmkuhl,19876842,54,379,2
16081,2805284431,Askild Schultz,35893543,35,495,2
27291,0209364332,Aslak Kirstine,52186938,43,416,2
22231,0512062535,Aslaug Wistoft,93935429,48,380,1
10896,3008216018,Asløg Rosendahl,67312749,32,349,1
11826,1206266194,Asmind Ballegaard,98902372,58,633,2
18313,3005134095,Asmund Burman,58524126,62,380,2
17526,3007303179,Asmus Erbs,41723684,63,363,2
19595,1710192115,Asp Hoolihan,49281189,69,450,2
26362,0605953539,Asra Nikolaisen,50185960,41,583,1
13318,0107765820,Asser Lenz,78378314,58,565,2
29225,2912478544,Asthor Lie,92547448,57,381,2
29230,1608261735,Asthor Thulesen,51123563,42,318,2
14062,0603866725,Astor Borgsmidt,12620689,48,427,2
18981,0107938731,Astor Christophersdatter,86438618,65,570,2
31392,1910427656,Astor Nysom,90652762,41,320,2
16494,2011043360,Astrid Callesen,89018629,60,723,1
16129,1308052898,Astrid Noack-Lomholt,65470664,55,623,1
27065,0107675998,Atalia Øsnes,73397201,42,370,1
21509,2304371627,Atalie Bitsch,46112916,31,560,1
12415,2710695660,Atalie Motzfeldt,18802952,40,343,1
20432,2803489498,Athalia Harrild,40599043,51,456,1
11951,2104746216,Athalia Nørgaard,71565560,29,630,1
15726,2112406795,Atlanta Holbeck,74883060,34,417,1
26603,3109104731,Atle Enghusen,33361522,16,672,2
14805,2902890507,Atle Lauridsdatter,80786106,24,389,2
25386,0904337581,Atli Kristiane,39104573,42,566,2
29818,0509943726,Atli Uth,76913817,41,569,2
24061,0311217957,Atte Boel,59237001,35,552,2
15677,0603529950,Attila Jarlhof,94214932,61,430,2
26446,1312678838,Attila Vuust,24973465,8,746,2
11821,2611858556,Audun Hadsberg,43630204,47,412,2
18162,0508248875,Audun Henrichsdatter,85098586,69,728,2
23683,0309820974,Audun Larsen,82881864,38,326,2
28974,0110950113,Audun Mossberg,80146662,54,390,2
24749,2704374585,Audun Rande,10777882,52,426,2
15229,0612550777,Augo Dearden,21846373,78,412,2
21446,0505006187,Augo Høll,40527559,38,575,2
16009,2307614493,Augo Rømer,38991023,51,352,2
10346,2606422173,Augo Tallhaug,63066608,22,673,2
25381,2808512561,Augo Therkildsdater,60179877,55,357,2
17871,1801690837,August Callisen,81917626,35,363,2
28114,3104992332,August Muusmand,22359111,48,360,2
29988,1109492997,Augustin Conradsdatter,47982964,34,425,2
29787,1606614975,Augustin Fuhlendorff,83647905,50,617,2
14398,2801154705,Augustin Korz,47417671,42,686,2
17407,1708776685,Augustina Beyer,46387860,32,290,1
22215,1701894195,Augustinus Ingvardsen,23497393,54,402,2
26247,2811577658,Augustinus Møgelvang,69843503,49,489,2
17186,3001619151,Augustus Hietting,95191079,29,330,2
14978,1605181849,Augustus Honore`,89340753,21,431,2
22904,2709082208,Aurelia Lundum,45122924,61,456,1
21109,1407486981,Aurica drenge,62378685,49,681,1
12026,2402864777,Aurora Grunnet,32891561,30,854,1
23560,2604995280,Aurora Morch,10560868,32,666,1
18564,2207652234,Avgusta Krigslund,67272949,56,472,1
16967,1106992216,Avgusta Toft,22931910,42,613,1
30883,1205427144,Aviaya Juul,70475838,39,371,1
12700,2504794673,Axel Abel,63444559,41,550,2
23905,0304430561,Axel Agerbeck,19892870,51,289,2
27288,2009327690,Axel Monrad,92436723,44,576,2
23087,0812625796,Axel Møllenberg,42090035,49,603,2
28952,3007365598,Axel Sandersdatter,76720020,51,398,2
31319,1006829589,Ayna Donslund,84463932,40,347,1
25086,2611773281,Ayo Ickler,99080009,28,485,1
13540,0501932804,Baard Winthersen,33754303,61,395,2
28099,2806068554,Bagge Elmgreen,33664255,37,574,2
15023,2803363784,Bagge Tamberg,44144014,45,650,2
23517,1609763090,Bagge Wiles,49677802,74,372,2
16444,0302371267,Bahne Bjørholm,26081103,69,563,2
28274,2603440952,Bahne Dela,29399706,34,436,2
30267,2906001351,Baki Baun,39429867,41,512,2
16498,2112777675,Baldrian Simensen,33569916,22,605,2
20694,0810927677,Baldur Fransen,54076469,20,416,2
13133,0305784734,Baldur Leusch,53545444,29,441,2
14121,1108362407,Baltazar From,58414729,33,674,2
24880,2611273556,Balthasar Frederiksen,44816849,66,436,2
23234,2503184095,Balthasar Harkjær,15513199,50,480,2
11913,2001144653,Balthazar Mouritsen,14347483,36,331,2
15885,1906981386,Baltser Flennow,68500840,58,320,2
24555,1308840248,Baltser Østergård,22906435,46,374,2
16533,0202750391,Bane Bolette,63560790,38,598,2
16703,0712957307,Bane Kærulff,42153768,47,415,2
26828,0909322001,Barbel Skjolding,21445640,63,535,1
25084,2305448820,Barbro Hoskamer,75171640,64,459,1
21115,1612041441,Barbro Søe,85953157,54,585,1
10025,0911635042,Barney Foelkiær,41523054,60,550,2
26487,1804581235,Barney Klemmensdatter,57668342,28,350,2
27314,0601455468,Barny Dearden,21172613,59,506,2
30736,1206898300,Bart Grønbek,58533330,67,521,2
13373,2608089537,Bart Platou,30827648,45,620,2
22415,1512572766,Bartel Enevoldsdatter,33254818,34,438,2
21641,1103351184,Bartholemæus Skyt,29353127,35,394,2
15654,2811256085,Bartholomeus Mejsling,67244021,22,311,2
22743,2012016041,Bartholomeus Torbensdatter,73375280,65,610,2
23339,1008233636,Bartolemæus Rose,70560467,56,391,2
15925,2511458635,Bartolemæus Skøtt,68916725,38,571,2
19610,1808834361,Bartolomæus Bach-Petersen,43804515,40,471,2
24924,2407990443,Bartolomæus Bendtsen,36478358,45,663,2
10000,1509729790,Bartolomæus Mærsk,69202905,60,313,2
19091,2107038409,Bartolomæus Rathje,75864905,63,601,2
28207,3008225190,Bastian Asmussen,91567252,61,609,2
22835,2105865755,Bastian Bejskjær,22010161,62,417,2
12786,1103614817,Bastian Dolleriis,23852195,67,412,2
27559,2704481251,Batseba Bower,47319690,48,474,1
22754,0209814198,Batseba Grøn,17068220,58,599,1
12658,2906535606,Bay Aschou,62210279,43,688,2
22909,3003521483,Bay Johnson,58513572,42,370,2
19744,2510794063,Bay Krintel,14625616,47,530,2
30744,0306383661,Bay Torbensen,22721715,36,661,2
11490,1112931177,Beaneth Skanderup,99334800,56,430,1
30633,2303893289,Beatha Bengtsdotter,90358640,38,412,1
14734,1210015895,Beatriz Ryborg,87995154,50,404,1
26437,2508490118,Bebbie Kristiansen,95001307,59,499,1
11013,3105775459,Begitta Frænde,35306999,71,523,1
21455,2711126485,Begitta Khristensen,55061590,41,419,1
10797,0310188719,Begitte Wise,11650575,40,671,1
15793,1602714171,Behrend Abrahamsen,43358495,39,555,2
30214,1512824923,Behrend Borgsmidt,17809618,48,394,2
17363,0806880948,Behrend Huus,77682416,48,313,2
27449,0612958886,Behrend Praem,63191336,53,364,2
10426,0608747789,Behrendt Christian,50576134,57,588,2
12281,2605392545,Behrendt Stephensen,92130603,27,429,2
27207,3008263601,Behrendt Vinkel,21642542,70,437,2
25300,0612109115,Belinda Adsernen,63278973,52,457,1
10857,2606579482,Belinda Laulund,53971413,69,440,1
21436,1305257235,Beline Sellesen,62020119,47,335,1
22808,2905392059,Beline Ørebroe,55839374,52,423,1
11390,1708283909,Ben Hustedt,50880156,48,403,2
25643,0806306454,Ben Væting,51829261,30,630,2
20357,1911625041,Bendiks Berthelsdatter,58359117,28,369,2
21253,3011484867,Bendiks Melmølle,52274887,25,660,2
23207,0204666805,Bendine Thygesen,51710655,28,444,1
29924,0308440266,Bendix Michaelsen,89684427,48,491,2
30877,0408960006,Bendix Wittenkamp,49569942,51,603,2
17987,2910129337,Bendt Falk,60561006,51,305,2
16570,0810465670,Bendt Zacariassen,34635615,44,408,2
30539,2809446009,Bendy Emborg,19089804,29,359,2
24832,2309546690,Bendy Schmidt,43056700,34,213,2
21721,0905280405,Bene Cramer,27665396,43,425,1
19903,0707777248,Benedikt Brøchner,15133913,45,560,2
28380,2009926462,Benedikt Laugesen,85526298,35,378,2
21525,2207866817,Bengerd Munk,35388197,22,467,1
21696,0804260161,Bengt Nielsen,97297584,69,366,2
22560,1203577594,Bengta Gregersen,81073255,53,433,1
30878,2610882624,Benita Hopen,70942695,47,529,1
30004,1709743634,Benita Kjær,92116539,36,672,1
21289,2008325749,Benito Juhl,26405102,54,275,2
23464,1512654110,Benito Kennum,53877569,57,617,2
28532,3011265633,Benito Veldetta,24078598,61,638,2
27570,1603426729,Benjamin Lynggaard,55644349,40,482,2
15274,2906241688,Benn Heebo,95332666,43,631,2
